Net_struct,Net_setup,Sample,L,relative_err
DNN,[32 32 32 32],"[0, 0, 0, 100]",1,0.025292901
DNN,[32 32 32 32],"[0, 0, 0, 100]",3,0.0010640726
DNN,[32 32 32 32],"[0, 0, 0, 100]",5,0.00010750789
DNN,[32 32 32 32],"[0, 0, 0, 100]",7,2.1442927e-05
DNN,[32 32 32 32],"[0, 0, 0, 100]",9,0.00010582192
DNN,[32 32 32 32],"[0, 0, 0, 100]",11,1.5206054e-05
DNN,[32 32 32 32],"[0, 0, 0, 100]",13,0.00027646343
DNN,[32 32 32 32],"[0, 0, 0, 100]",15,1.01638325e-05
DNN,[32 32 32 32],"[0, 0, 0, 100]",17,1.5421298e-05
DNN,[32 32 32 32],"[0, 0, 0, 100]",19,1.0283755e-05
DNN,[32 32 32 32],"[0, 0, 0, 100]",21,0.00011351401
DNN,[32 32 32 32],"[0, 0, 0, 100]",23,1.0238736e-05
DNN,[32 32 32 32],"[0, 0, 0, 100]",25,0.00012543364
DNN,[32 32 32 32],"[0, 0, 0, 100]",27,7.479986e-05
DNN,[32 32 32 32],"[0, 0, 0, 100]",29,1.0242028e-05
DNN,[32 32 32 32],"[0, 0, 0, 300]",1,0.02529303
DNN,[32 32 32 32],"[0, 0, 0, 300]",3,0.001064237
DNN,[32 32 32 32],"[0, 0, 0, 300]",5,0.00010763904
DNN,[32 32 32 32],"[0, 0, 0, 300]",7,1.6980894e-05
DNN,[32 32 32 32],"[0, 0, 0, 300]",9,0.0001050272
DNN,[32 32 32 32],"[0, 0, 0, 300]",11,1.061572e-05
DNN,[32 32 32 32],"[0, 0, 0, 300]",13,1.452401e-05
DNN,[32 32 32 32],"[0, 0, 0, 300]",15,9.880693e-06
DNN,[32 32 32 32],"[0, 0, 0, 300]",17,1.9153475e-05
DNN,[32 32 32 32],"[0, 0, 0, 300]",19,1.0312639e-05
DNN,[32 32 32 32],"[0, 0, 0, 300]",21,3.7559545e-05
DNN,[32 32 32 32],"[0, 0, 0, 300]",23,1.0432635e-05
DNN,[32 32 32 32],"[0, 0, 0, 300]",25,6.661161e-05
DNN,[32 32 32 32],"[0, 0, 0, 300]",27,0.00013252838
