Net_struct,Net_setup,Sample,L,relative_err
DNN,[32 32 32 32],"[0, 0, 0, 100]",1,0.48003128
DNN,[32 32 32 32],"[0, 0, 0, 100]",3,0.14339687
DNN,[32 32 32 32],"[0, 0, 0, 100]",5,0.017852455
DNN,[32 32 32 32],"[0, 0, 0, 100]",7,0.004412956
DNN,[32 32 32 32],"[0, 0, 0, 100]",9,0.0045793913
DNN,[32 32 32 32],"[0, 0, 0, 100]",11,0.0033076303
DNN,[32 32 32 32],"[0, 0, 0, 100]",13,0.004438386
DNN,[32 32 32 32],"[0, 0, 0, 100]",15,0.0031950378
DNN,[32 32 32 32],"[0, 0, 0, 100]",17,0.0051246053
DNN,[32 32 32 32],"[0, 0, 0, 100]",19,0.0038949721
DNN,[32 32 32 32],"[0, 0, 0, 100]",21,0.0034507718
DNN,[32 32 32 32],"[0, 0, 0, 100]",23,0.003581373
DNN,[32 32 32 32],"[0, 0, 0, 100]",25,0.0037260607
DNN,[32 32 32 32],"[0, 0, 0, 100]",27,0.0030792495
DNN,[32 32 32 32],"[0, 0, 0, 100]",29,0.0037774104
DNN,[32 32 32 32],"[0, 0, 0, 300]",1,0.4824685
DNN,[32 32 32 32],"[0, 0, 0, 300]",3,0.14100607
DNN,[32 32 32 32],"[0, 0, 0, 300]",5,0.017608522
DNN,[32 32 32 32],"[0, 0, 0, 300]",7,0.0011634646
DNN,[32 32 32 32],"[0, 0, 0, 300]",9,0.00025891486
DNN,[32 32 32 32],"[0, 0, 0, 300]",11,0.0004558625
DNN,[32 32 32 32],"[0, 0, 0, 300]",13,0.001176049
DNN,[32 32 32 32],"[0, 0, 0, 300]",15,0.00018665941
DNN,[32 32 32 32],"[0, 0, 0, 300]",17,0.0008784318
DNN,[32 32 32 32],"[0, 0, 0, 300]",19,0.00031488232
DNN,[32 32 32 32],"[0, 0, 0, 300]",21,0.0019853613
DNN,[32 32 32 32],"[0, 0, 0, 300]",23,0.00033730338
DNN,[32 32 32 32],"[0, 0, 0, 300]",25,0.00041265477
DNN,[32 32 32 32],"[0, 0, 0, 300]",27,0.00023040197
DNN,[32 32 32 32],"[0, 0, 0, 300]",29,0.0002527421
DNN,[32 32 32 32],"[0, 0, 0, 500]",1,0.47926083
DNN,[32 32 32 32],"[0, 0, 0, 500]",3,0.14017557
DNN,[32 32 32 32],"[0, 0, 0, 500]",5,0.017006658
DNN,[32 32 32 32],"[0, 0, 0, 500]",7,0.0010678639
DNN,[32 32 32 32],"[0, 0, 0, 500]",9,0.00011990625
DNN,[32 32 32 32],"[0, 0, 0, 500]",11,0.00013376235
DNN,[32 32 32 32],"[0, 0, 0, 500]",13,0.00064718165
DNN,[32 32 32 32],"[0, 0, 0, 500]",15,0.00020093014
DNN,[32 32 32 32],"[0, 0, 0, 500]",17,0.0003489401
DNN,[32 32 32 32],"[0, 0, 0, 500]",19,9.876689e-05
DNN,[32 32 32 32],"[0, 0, 0, 500]",21,0.0001658177
DNN,[32 32 32 32],"[0, 0, 0, 500]",23,0.00021224657
DNN,[32 32 32 32],"[0, 0, 0, 500]",25,0.00030834746
DNN,[32 32 32 32],"[0, 0, 0, 500]",27,9.52603e-05
DNN,[32 32 32 32],"[0, 0, 0, 500]",29,0.00011529624
DNN,[32 32 32 32],"[0, 0, 0, 700]",1,0.4793096
